base_notes,chord_progressions,valid?
"[6, 1, 3, 4]","[[53, 49, 34, 22], [49, 44, 41, 25], [36, 44, 41, 29], [34, 42, 37, 30]]",TRUE
"[6, 1, 3, 4]","[[49, 34, 41, 10], [53, 49, 44, 25], [56, 36, 41, 29], [54, 49, 34, 30]]",TRUE
"[6, 1, 4, 5]","[[41, 37, 22, 10], [44, 41, 37, 25], [37, 22, 30, 18], [39, 24, 32, 20]]",TRUE
"[6, 1, 4, 5]","[[34, 41, 37, 10], [44, 41, 37, 25], [34, 42, 37, 18], [36, 44, 39, 20]]",TRUE
"[6, 1, 4, 5]","[[61, 53, 34, 22], [61, 53, 44, 37], [61, 54, 34, 30], [48, 56, 51, 32]]",TRUE
"[6, 1, 5, 2]","[[53, 49, 34, 22], [56, 53, 49, 37], [51, 36, 44, 32], [34, 42, 39, 27]]",TRUE
"[6, 1, 5, 2]","[[49, 41, 22, 10], [53, 44, 37, 25], [36, 39, 32, 20], [34, 42, 39, 27]]",TRUE
"[6, 1, 5, 4]","[[53, 49, 34, 22], [56, 53, 49, 37], [51, 36, 44, 32], [49, 34, 42, 30]]",TRUE
"[6, 1, 5, 4]","[[41, 37, 22, 10], [41, 37, 32, 25], [44, 39, 24, 20], [34, 42, 37, 18]]",TRUE
"[6, 1, 5, 4]","[[49, 41, 22, 10], [53, 37, 32, 25], [36, 39, 32, 20], [49, 42, 22, 18]]",TRUE
"[6, 1, 5, 4]","[[41, 37, 22, 10], [44, 41, 37, 25], [36, 44, 39, 20], [49, 34, 42, 30]]",TRUE
"[6, 1, 6, 5]","[[41, 37, 22, 10], [44, 41, 37, 25], [41, 37, 22, 10], [39, 24, 32, 20]]",TRUE
"[6, 1, 6, 5]","[[34, 41, 37, 10], [44, 41, 37, 25], [41, 37, 22, 10], [44, 39, 24, 20]]",TRUE
"[6, 1, 6, 5]","[[49, 41, 22, 10], [49, 41, 25, 44], [34, 41, 37, 10], [51, 44, 24, 20]]",TRUE
"[6, 2, 4, 5]","[[41, 37, 22, 10], [34, 42, 39, 27], [49, 34, 42, 30], [51, 36, 44, 32]]",TRUE
"[6, 2, 4, 5]","[[53, 49, 34, 22], [54, 51, 34, 39], [54, 49, 34, 30], [56, 51, 36, 32]]",TRUE
"[6, 2, 4, 5]","[[53, 49, 34, 22], [54, 51, 34, 27], [49, 34, 42, 30], [36, 44, 39, 20]]",TRUE
"[6, 2, 4, 5]","[[61, 53, 34, 22], [46, 51, 42, 27], [46, 49, 42, 30], [48, 51, 44, 32]]",TRUE
"[6, 2, 5, 1]","[[53, 49, 34, 22], [34, 42, 39, 27], [51, 36, 44, 32], [44, 41, 37, 25]]",TRUE
"[6, 2, 5, 1]","[[46, 53, 49, 22], [54, 51, 39, 34], [56, 51, 36, 32], [53, 49, 44, 37]]",TRUE
"[6, 2, 5, 1]","[[49, 34, 41, 22], [34, 42, 39, 27], [36, 44, 39, 32], [44, 41, 37, 25]]",TRUE
"[6, 2, 5, 1]","[[49, 34, 41, 22], [51, 34, 42, 27], [51, 36, 44, 32], [53, 49, 44, 37]]",TRUE
"[6, 2, 5, 1]","[[49, 41, 22, 17], [42, 22, 27, 15], [36, 39, 32, 20], [41, 32, 25, 13]]",TRUE
"[6, 3, 4, 1]","[[53, 49, 34, 22], [36, 44, 41, 29], [49, 34, 42, 30], [56, 53, 49, 37]]",TRUE
"[6, 3, 4, 1]","[[61, 46, 53, 34], [48, 56, 53, 41], [61, 46, 54, 42], [61, 56, 53, 49]]",TRUE
"[6, 4, 1, 5]","[[41, 37, 22, 10], [37, 22, 30, 18], [44, 41, 37, 25], [39, 24, 32, 20]]",TRUE
"[6, 4, 5, 1]","[[53, 49, 34, 22], [49, 34, 42, 30], [51, 36, 44, 32], [56, 53, 49, 37]]",TRUE
"[6, 4, 5, 1]","[[49, 34, 41, 22], [49, 34, 42, 30], [51, 36, 44, 32], [49, 44, 41, 25]]",TRUE
"[6, 4, 5, 3]","[[53, 49, 34, 22], [49, 34, 42, 30], [51, 36, 44, 32], [36, 44, 41, 29]]",TRUE
"[6, 4, 5, 3]","[[46, 49, 41, 22], [54, 34, 37, 30], [56, 36, 39, 32], [53, 36, 44, 29]]",TRUE
"[6, 4, 5, 3]","[[49, 34, 41, 22], [49, 34, 37, 30], [36, 44, 39, 32], [36, 44, 41, 29]]",TRUE
"[6, 5, 2, 1]","[[41, 37, 22, 10], [39, 24, 32, 20], [22, 30, 27, 15], [32, 29, 25, 13]]",TRUE
"[6, 5, 2, 1]","[[37, 22, 29, 10], [39, 24, 32, 20], [39, 22, 30, 15], [37, 32, 29, 13]]",TRUE
"[6, 5, 2, 4]","[[53, 49, 34, 22], [51, 36, 44, 32], [34, 42, 39, 27], [49, 34, 42, 30]]",TRUE
"[6, 5, 2, 4]","[[53, 49, 34, 22], [56, 51, 36, 32], [46, 54, 51, 39], [46, 54, 49, 42]]",TRUE
"[6, 5, 2, 4]","[[65, 46, 49, 22], [63, 56, 36, 32], [63, 54, 34, 27], [61, 54, 34, 30]]",TRUE
"[6, 5, 4, 3]","[[53, 49, 34, 22], [51, 36, 44, 32], [49, 34, 42, 30], [36, 44, 41, 29]]",TRUE
"[6, 5, 4, 3]","[[49, 41, 22, 10], [51, 44, 24, 20], [49, 42, 22, 18], [53, 44, 24, 29]]",TRUE
